,argument,topic,set,WA,MACE-P,stance_WA,stance_WA_conf
44,"A couple doesn't have to bind themselves legally to one another, by marrying, to prove their love.",We should abandon marriage,train,0.729708699,0.180185489,1,1.0
47,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should be a criminal offence,train,0.830767585,0.603442273,1,1.0
49,"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",We should legalize organ trade,train,1.0,0.928966338,1,1.0
50,a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,We should ban naturopathy,train,0.786455429,0.359889845,1,1.0
51,a father figure that takes an active role in their child's life has a positive effect on the child,We should subsidize stay-at-home dads,train,0.572805817,0.082785548,1,0.610690889
52,"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer.",We should subsidize stay-at-home dads,train,1.0,0.972989384,-1,0.601570978
53,a few loud mouths should not be able to change years of law,We should limit judicial activism,train,0.402225161,3.31e-05,1,1.0
54,"A flag is just a symbol and carries no real meaning in and of itself. Therefore, burning it is not a big deal.",We should prohibit flag burning,train,0.866672906,0.783845894,-1,0.896017197
55,a flag is mass produced and has no added commercial value other than the material it is made with,We should prohibit flag burning,train,0.603874216,0.133357612,-1,0.745387959
56,"a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc",We should prohibit flag burning,train,1.0,0.944616324,-1,1.0
57,a flag is only a piece of cloth and there is no prohibition against burning cloth,We should prohibit flag burning,train,0.610950479,0.0009339,-1,1.0
58,a flag is only a symbol and permitting burning it as an expression of anger is free speech,We should prohibit flag burning,train,0.83781112,0.82076391,-1,1.0
59,a flag is only really a peace of cloth and doesn't actually hurt anybody.,We should prohibit flag burning,train,0.50805724,0.013245956,-1,1.0
60,a flag symbolizes a country and by burning it you are showing disrespect,We should prohibit flag burning,train,0.958760476,0.908157556,1,1.0
62,a gender neutral language should be adopted so that conversations and language would be fair for everyone.,We should adopt gender-neutral language,train,1.0,0.916760962,1,1.0
63,a gender neutral language would improve gender equality,We should adopt gender-neutral language,train,0.723600547,0.314975271,1,1.0
64,"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",We should adopt gender-neutral language,train,0.696053102,0.23386457,1,1.0
65,a gender-neutral language would take hundreds of years to adopt to and therefore should be abandoned,We should adopt gender-neutral language,train,0.717420971,0.345162727,-1,1.0
67,A good portion of the telemarketers these days are not even human and this is illegal and Immoral,We should ban telemarketing,train,0.590752965,0.000237642,1,1.0
70,A government-funded Wikipedia would become a government-controlled Wikipedia.,We should subsidize Wikipedia,train,1.0,0.99889274,-1,1.0
72,a group can function more effectively and with greater impact when working together as opposed to individually,We should oppose collectivism,train,0.649438545,0.061585121,-1,0.92938411
73,a group of collective thoughts in line with one stance makes it greater.,We should oppose collectivism,train,0.515929983,0.011339073,-1,1.0
75,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,train,1.0,0.990959788,1,1.0
76,a human being at death can help others to live and through organ trade help their families live,We should legalize organ trade,train,0.776603164,0.174780608,1,0.926547643
77,a human rights activist spoke out that people should not be racially profiled because they belonged to a certain group or have different colors.,We should end racial profiling,train,0.467666058,0.010998268,1,1.0
78,a judge allowing their own personal feelings to become involved in a ruling cause said ruling to be unfair.,We should limit judicial activism,train,0.886716086,0.943759479,1,1.0
79,a judge is a credible voted in individual whose decisions should be trusted.,We should limit judicial activism,train,0.796514812,0.258393394,-1,1.0
80,"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively legislating from the bench, which exceeds what the judicial branch is allowed to do.",We should limit judicial activism,train,0.733259128,0.768438114,1,0.712282107
81,a judge is not god and therefore should not make all of the decisions.,We should limit judicial activism,train,0.645038339,0.014374563,1,1.0
82,a judge is suppose to be held in a high regard and should abide by the laws they took an oath to uphold without bias.,We should limit judicial activism,train,0.850495682,0.711094591,1,0.803353987
83,"a judge is suppose to uphold the rule of law, not alter it with their own opinions/views/beliefs.",We should limit judicial activism,train,1.0,0.894754685,1,1.0
84,a judge should be allowed to determine the constitutionality of an argument by using their own beliefs in part.,We should limit judicial activism,train,0.909260166,0.950336313,-1,0.89803277
85,a judge shouldnt be able to show their personal views.,We should limit judicial activism,train,0.618884716,0.060952293,1,0.788940635
86,a judges opinion should not be relevant in a decision that they make as a judge,We should limit judicial activism,train,0.896425919,0.528725278,1,0.904556736
87,a judge's opinion should not take precedent over official laws.,We should limit judicial activism,train,1.0,0.938968429,1,1.0
88,a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step too far,We should limit judicial activism,train,1.0,0.900997019,1,1.0
89,a jusge should be allowed to look at a crime and the situation the person was subjected to in regards to their acts as the punishment should be determined in regards to an individual situation.,We should limit judicial activism,train,0.702201807,0.239941155,-1,0.702269037
90,a jusge should be allowed to make decisions based on certain situations and circumstances and make judgement using the information and issues presented rather than a strict generalized standard.,We should limit judicial activism,train,0.762386062,0.211898673,-1,1.0
91,a jusge should follow the law rather than opnion as they are regarded as the highest power to judicate the laws they honor to serve and uphold.,We should limit judicial activism,train,0.9000733,0.505571111,1,0.810454946
92,a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect.,We should adopt a multi-party system,train,0.977855246,0.775433948,1,1.0
93,a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,We should ban cosmetic surgery,train,0.943026071,0.982727947,-1,1.0
94,a lack of control means there is nobody to step in if it goes wrong,We should stop the development of autonomous cars,train,0.670776465,0.050557159,1,1.0
95,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,train,1.0,0.926138098,1,1.0
96,a language that does not include gender takes away from the personality of people.,We should adopt gender-neutral language,train,0.663691256,0.258451502,-1,1.0
98,a larger group of people can often offer more value with power in numbers. there is more value to a large group with more ideas and more manpower.,We should oppose collectivism,train,0.744154915,0.365297667,-1,1.0
100,a legal organ trade would boost the availability of transplant organs and save lives,We should legalize organ trade,train,0.91692616,0.985871844,1,1.0
101,"a legalised organ trade would dramatically improve the stock of transplant organs, saving lives.",We should legalize organ trade,train,1.0,0.999937717,1,1.0
102,"a legalised organ trade would increase the amount of stock available for medical procedures, and allow the procedure to become safer and more regulated.",We should legalize organ trade,train,1.0,0.881625001,1,1.0
103,"a legalised trade would disproportionately harm those from poorer economic backgrounds, legitimising the huge medical risks involved.",We should legalize organ trade,train,0.790330746,0.779496826,-1,0.92766711
104,"A legalized market would exploit the poor who, as a result of financial problems, would be the ones most likely to sell their organs.",We should legalize organ trade,train,1.0,0.998937389,-1,1.0
108,a lifestyle that does not hurt others should be legal,We should legalize polygamy,train,0.461355421,0.01739913,1,1.0
109,a lot more work and research could get done if we abandoned television.,We should abandon television,train,0.766087264,0.380684593,1,1.0
110,"a lot of gender neutral language assumes the male version of the word as the newly accepted neutral word. this doesn’t make it neutral, just assumes the male is best.",We should adopt gender-neutral language,train,0.56094296,0.03073985,-1,0.411606393
111,"a lot of naturopaths suggest things without scientific backing, which may harm the patient.",We should ban naturopathy,train,1.0,0.884242489,1,1.0
113,a lot of the criminals fit a specific ethnicity so for security purposes and saving lives police should be allowed to racially profile in exchange for a little bit of suffering,We should end racial profiling,train,0.811590203,0.842491588,-1,0.889347942
114,a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.,We should ban cosmetic surgery,train,1.0,0.825804012,1,1.0
115,"a lot of times, people who homeschool aren't qualified to teach all the subjects needed for a high school  diploma.",Homeschooling should be banned,train,1.0,0.722114629,1,1.0
116,a lot of what they do is dangerous including opposing vaccines.,We should ban naturopathy,train,0.835787168,0.742303749,1,1.0
117,a lot of woman who prostitute themselves were sexually assaulted themselves so it may be better to have better options.,We should legalize prostitution,train,0.636189985,0.075838553,1,0.583335328
119,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,train,1.0,0.981712522,1,1.0
121,a majority of students are unable to pay for the high cost of attending college,We should subsidize student loans,train,1.0,0.772791096,1,1.0
122,"a man or woman has the right to do what they wish with their body, and if they choose to sell it for sex, the government should not interfere.",We should legalize prostitution,train,1.0,0.896834081,1,0.808369044
123,a mandatory retirement age allows employers to be able to bring fresh talent into their workforce,We should end mandatory retirement,train,0.592856958,0.555817174,-1,1.0
124,"A mandatory retirement age ensures that at least some positions open up in a given profession on a predictable basis, allowing younger workers to enter as older workers exit",We should end mandatory retirement,train,0.907162426,0.99936336,-1,0.824163974
125,a mandatory retirement age helps employers regularly refresh the workforce with fresh talent,We should end mandatory retirement,train,0.517058292,0.202322077,-1,1.0
126,a man's place is in the workforce to provide for his family.  why should anyone else have to pay for that guy's family just because he doesn't want to go to work?,We should subsidize stay-at-home dads,train,0.495053967,0.00175686,-1,1.0
127,"a marriage is a piece of paper, nothing more.",We should abandon marriage,train,0.639853145,0.04342911,1,0.900469878
131,A miniature arms race between missile defense developers and missile developers creates an arms race that costs a massive amount to any state with either industry.,We should fight for the abolition of nuclear weapons,train,0.599073311,0.002113021,1,1.0
132,a minor does not have the mental and emotional development needed to make decisions that have long term effects,We should ban cosmetic surgery for minors,train,0.979063676,0.969868619,1,1.0
133,a minor is in no way responsible enough to make the decision of getting cosmetic surgery.  you see too many kids doing it because they want to look like a pop idol fad.  it is dangerous.,We should ban cosmetic surgery for minors,train,0.848459328,0.841666358,1,1.0
134,a minor is not old enough to make decisions on something that will change them forever,We should ban cosmetic surgery for minors,train,1.0,0.675649135,1,0.917916305
135,a minor is still growing so any cosmetic surgery may well result in a less than desirable result when they are fully grown.,We should ban cosmetic surgery for minors,train,0.853299985,0.558393445,1,1.0
136,a minor should be allowed to under go cosmetic surgery if it would improve how they see themselves and help their confidence.  such things would follow them into adulthood in a positive manner.,We should ban cosmetic surgery for minors,train,0.946942126,0.91065792,-1,1.0
137,a minor should have control over their own body,We should ban cosmetic surgery for minors,train,0.561735508,0.097095238,-1,1.0
138,a mistake could cause permanent disfigurement of a person,We should ban cosmetic surgery,train,0.897362826,0.872930528,1,1.0
139,"a modern society espousing gender equality has a duty to subsidize stay-at-home dads, just as it would support mothers - this both improves womens' career prospects, and fathers' emotional bonding.",We should subsidize stay-at-home dads,train,1.0,0.949778768,1,1.0
140,a mulit-party system is needed because there are more opinions than just democrat and repulblican,We should adopt a multi-party system,train,0.842355956,0.823701965,1,1.0
141,"a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better",We should adopt a multi-party system,train,1.0,0.981968983,1,1.0
142,a multi party system allows for a larger group of qualified individuals,We should adopt a multi-party system,train,0.59626369,0.085352146,1,1.0
143,a multi party system creates chaos by giving too many choices to the people,We should adopt a multi-party system,train,0.903183785,0.837538158,-1,1.0
144,a multi party system does not always help things. what is to say we get multiple bad choices and we have to end up choosing the lesser of two evils?,We should adopt a multi-party system,train,0.855504545,0.582609713,-1,1.0
145,a multi party system ensures that everyone’s viewpoint can be represented and taken into account rather than only a minority.,We should adopt a multi-party system,train,1.0,0.838511823,1,1.0
146,a multi party system helps ensure all people are represented and that no one party or faction becomes too strong. multi party systems are more equitable at all levels and not all in favor of one group.,We should adopt a multi-party system,train,1.0,0.999029941,1,1.0
147,"a multi party system is too volatile, there's no stability and no consistency",We should adopt a multi-party system,train,0.956774768,0.770773044,-1,0.92816499
148,A multi party system might be too confusing because there would be too many candidates with too many opinions and would be hard to vote.,We should adopt a multi-party system,train,0.858611343,0.603647466,-1,1.0
149,a multi party system will help us choose the best person for the job.,We should adopt a multi-party system,train,0.920955683,0.611386028,1,1.0
150,a multi party system will lead to the rise of fringe groups that do not represent the will of the people.,We should adopt a multi-party system,train,0.875516265,0.772422919,-1,0.900103052
151,a multi party system would bring many new & fresh ideas into the forefront,We should adopt a multi-party system,train,1.0,0.92530971,1,1.0
152,a multi party system would ensure more people get their viewpoint taken into account.,We should adopt a multi-party system,train,1.0,0.997499847,1,1.0
153,"a multi party system would represent all those that voted, not just those that voted for one party so a fairer system of governance would be in place.",We should adopt a multi-party system,train,0.969549714,0.717913089,1,1.0
154,a multi party system would spend more time arguing than resolving problems and wouldn’t be beneficial.,We should adopt a multi-party system,train,0.834587451,0.98204329,-1,0.896693244
155,a multi party sytem is not in agreement with the constitution.,We should adopt a multi-party system,train,0.629491034,0.074726201,-1,1.0
156,a multi-oart system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.,We should adopt a multi-party system,train,0.861524267,0.501237207,1,1.0
157,"a multi-oarty system can decrease the votes of a specific candidate, making the votes misappropriated.",We should adopt a multi-party system,train,0.226248768,0.001105207,-1,1.0
158,a multi-party ensures that all people and voices are heard and represented.,We should adopt a multi-party system,train,0.972829744,0.89854631,1,1.0
159,a multi-party is essential to allow for democracy and prevent autocratic regimes coming to power.,We should adopt a multi-party system,train,0.882314075,0.923349531,1,1.0
160,a multi-party system allows a greater freedom of choice for voters to express their democratic right to vote for policies they would like to implimented.,We should adopt a multi-party system,train,0.88108555,0.461062187,1,1.0
161,a multi-party system allows a greater number of views to be heard.,We should adopt a multi-party system,train,1.0,0.985583815,1,1.0
162,a multi-party system allows a number of parties to enter government and is a benchmark of democracy.,We should adopt a multi-party system,train,1.0,0.759485097,1,1.0
163,a multi-party system allows all political parties to be represented for all people,We should adopt a multi-party system,train,1.0,0.999962525,1,1.0
164,a multi-party system allows for a broad range of ideas to be heard and implemented.,We should adopt a multi-party system,train,1.0,0.957623739,1,1.0
165,"a multi-party system allows for a much more diverse spectrum of options for an individual to find the right party to vote for, to really represent them",We should adopt a multi-party system,train,1.0,0.990250695,1,1.0
166,a multi-party system allows for diverse thinking and a larger choice for the people,We should adopt a multi-party system,train,1.0,0.942556155,1,1.0
167,A multi-party system allows for greater choice in whom to vote for.  It allows each citizen to vote for the party that best fits their beliefs and represents their ideology.,We should adopt a multi-party system,train,1.0,0.996904945,1,1.0
168,a multi-party system allows for greater freedom of choice and expression of opinion,We should adopt a multi-party system,train,0.84015815,0.999931546,1,1.0
169,"a multi-party system allows for greater freedom of choice, as a greater number of major parties would cover more ideological viewpoints.",We should adopt a multi-party system,train,1.0,0.938720358,1,1.0
170,a multi-party system allows for greater freedom of expression for the electorate and reduces the need to vote for who you disagree with the least,We should adopt a multi-party system,train,1.0,0.74865121,1,1.0
171,a multi-party system allows for more choices to address the views and issues of the people that multi candidates provide.,We should adopt a multi-party system,train,1.0,0.848645704,1,1.0
172,"a multi-party system allows for more ideas, more candidates, more voters turning out.",We should adopt a multi-party system,train,1.0,0.832482581,1,1.0
173,a multi-party system allows for more unqualified people to get into the race,We should adopt a multi-party system,train,1.0,0.977281253,1,0.502035431
174,a multi-party system allows for more views and ideals to be represented.,We should adopt a multi-party system,train,1.0,0.992378528,1,1.0
175,a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished.,We should adopt a multi-party system,train,1.0,0.951537531,1,1.0
176,a multi-party system allows for the people to choose between sets of ideas they want to govern the country.,We should adopt a multi-party system,train,1.0,0.829069578,1,1.0
177,A multi-party system allows open and constructive criticism of the ruling government and prevents tyranny.,We should adopt a multi-party system,train,1.0,0.999285063,1,1.0
178,a multi-party system as this will ensure that all policies are agreed upon and not forced through by a small majority. it will also ensure that a wider section of beliefs and opinions is represented.,We should adopt a multi-party system,train,0.937324626,0.939902002,1,1.0
179,a multiparty system blurs the citizenship of a vision and model of country. we should not adopt a multiparty system because it would waste valuable time to agree,We should adopt a multi-party system,train,0.757334863,0.847113898,-1,1.0
180,a multi-party system brings diversity to the political realm which helps people better decide where there vote should go,We should adopt a multi-party system,train,0.890813007,0.835580813,1,1.0
181,a multi-party system can bring continued bickering and endless in-fighting to a system of government that should be as simple as 'obey the law'.,We should adopt a multi-party system,train,0.75626388,0.3211728,-1,1.0
182,a multi-party system can increase the views of the people and allow for more choices.,We should adopt a multi-party system,train,0.861389193,0.727640674,1,1.0
183,a multi-party system can open the door to getting poor leaders out of office and creating change.,We should adopt a multi-party system,train,0.881290551,0.854835061,1,0.89416799
184,a multi-party system can result of the election of someone who is supported by a small number of citizens,We should adopt a multi-party system,train,0.612015482,0.011172055,-1,0.600883966
185,a multi-party system could add more complexity and create situations where issues become impossible to resolve.,We should adopt a multi-party system,train,0.944463172,0.986185536,-1,0.819167992
186,a multi-party system could be very beneficial as it would allow for more opinions and more choices.,We should adopt a multi-party system,train,1.0,0.824498147,1,1.0
187,a multi-party system could cause too much in fighting between groups that should be cooperating.,We should adopt a multi-party system,train,1.0,0.999640846,-1,1.0
188,a multiparty system could increase political bureaucracy,We should adopt a multi-party system,train,0.971598521,0.870653629,-1,0.903311596
189,a multi-party system could lead to more situations where a majority is not reached. this means that it could be harder to push policies through.,We should adopt a multi-party system,train,0.78422583,0.74717609,-1,0.92651746
190,a multi-party system could make it harder for decisions to be made as more opinions will complicate things.,We should adopt a multi-party system,train,0.876806409,0.943180927,-1,1.0
191,a multi-party system could mean that it is more difficult to agree on any answers as  it is more likely that there will not be a majority on issues.,We should adopt a multi-party system,train,0.910027661,0.847627399,-1,1.0
192,a multi-party system creates chaos.  more is not merrier in this type of case.,We should adopt a multi-party system,train,0.756093157,0.272411544,-1,1.0
193,a multi-party system enables the people to have more of a say in what happens in their country.,We should adopt a multi-party system,train,0.875781695,0.979870294,1,1.0
194,a multi-party system encourages innovation and new ideas.,We should adopt a multi-party system,train,1.0,0.841579174,1,1.0
195,a multi-party system encourages parties with different political views to work together and discourages polarising adversarial politics,We should adopt a multi-party system,train,0.978030505,0.940503652,1,0.908522486
196,a multi-party system encourages weak and unstable coalition governments that are unable to pursue radical change,We should adopt a multi-party system,train,0.743776776,0.796649957,-1,0.927019071
197,"a multi-party system ensures that voters have the chance to elect politicians that most closely align with their believes, lessening the chance that they have to compromise on things they feel are important.",We should adopt a multi-party system,train,0.704629766,0.339998464,1,1.0
198,a multi-party system is clearly good for democracy. allowing opposing groups to work through their differences and give choice to the population in government elections.,We should adopt a multi-party system,train,0.899417949,0.932131562,1,1.0
199,a multi-party system is enshrined in democracy. anyone should have his ideology and choose the party of his choice,We should adopt a multi-party system,train,0.782996179,0.354853192,1,1.0
200,a multi-party system is great in that it provides voters with many different candidates with different views and ideas,We should adopt a multi-party system,train,1.0,0.99590785,1,1.0
201,A multiparty system is less likely to cater to extremists who are now only represented by small extreme parties rather than larger parties.,We should adopt a multi-party system,train,0.783167638,0.487614788,1,1.0
202,A multiparty system is less likely to have gridlock because there are more parties that are willing to compromise.,We should adopt a multi-party system,train,1.0,0.999826791,1,1.0
203,a multiparty system is more representative of the will of the people,We should adopt a multi-party system,train,1.0,0.99236429,1,1.0
204,A multi-party system is more responsive to a change or shift in public opinion.,We should adopt a multi-party system,train,0.873679164,0.885429407,1,0.893140576
205,"a multi-party system is the fairest representation of all political viewpoints, and would increase the electorate's engagement with politics in general.",We should adopt a multi-party system,train,1.0,0.963118828,1,1.0
206,"a multi-party system is the most democratic system available, since it gives recognition to a broader canvas of viewpoints.",We should adopt a multi-party system,train,0.885611737,0.80152,1,1.0
207,a multi-party system lacks stability and costs huge amounts to run as many parties all campaign for their voice to be heard,We should adopt a multi-party system,train,0.876513296,0.605750453,-1,1.0
208,a multi-party system leads to disorganization and chaos.,We should adopt a multi-party system,train,0.937835138,0.88764162,-1,0.901005519
209,a multi-party system leads to too much division and there may never be an overall consensus,We should adopt a multi-party system,train,0.953416314,0.998736794,-1,0.894479893
210,a multi-party system leads to unstable goverment and does not reflect the will of the people accurately,We should adopt a multi-party system,train,0.887521165,0.944763065,-1,0.900740845
211,a multi-party system lets many views on important topics to be heard,We should adopt a multi-party system,train,1.0,0.98430146,1,1.0
212,a multi-party system makes it much more difficult to collaborate on ideas.,We should adopt a multi-party system,train,0.736990795,0.413131281,-1,1.0
213,a multi-party system makes sure more ideas are included.,We should adopt a multi-party system,train,0.869150183,0.873383396,1,1.0
214,a multi-party system makes sure that one political party doesn't hold all the power.,We should adopt a multi-party system,train,1.0,0.746057157,1,1.0
215,a multi-party system maximizes choice which would encourage greater voter participation.,We should adopt a multi-party system,train,1.0,0.880031401,1,1.0
216,a multi-party system means that more opinions will be heard and people will get a greater choice of who to vote for.,We should adopt a multi-party system,train,0.909258961,0.985054729,1,0.807110985
217,a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.,We should adopt a multi-party system,train,1.0,0.999797724,1,1.0
218,a multi-party system muddies the waters with too many ideas,We should adopt a multi-party system,train,0.477760689,0.033560556,-1,1.0
219,a multi-party system never works because at the end of the day each party is out for themselves and don't work in the best interest of the people being represented.,We should adopt a multi-party system,train,0.95171883,0.790231174,-1,0.926487246
220,"a multi-party system offers too many options and decreases the election voting for one candidate, spreading out the votes over too many options.",We should adopt a multi-party system,train,0.886849138,0.566596397,-1,1.0
221,a multi-party system only makes it harder to choose a presidential candidate,We should adopt a multi-party system,train,0.60916301,0.300091207,-1,1.0
222,A multi-party system prevents the leadership of a single party from setting policy without challenge.,We should adopt a multi-party system,train,1.0,0.998677298,1,0.905945769
223,a multi-party system provides more choices to insure that the people have representation for their various beliefs beyond a simple two or single-party system.,We should adopt a multi-party system,train,1.0,0.955465458,1,1.0
224,A multiparty system reduces tactical voting (voting for a particular person or political party in order to prevent someone else from winning).,We should adopt a multi-party system,train,0.958045716,0.997785295,1,1.0
225,a multi-party system results in so many different platforms that there is no cohesion and nothing gets accomplished.,We should adopt a multi-party system,train,0.742411176,0.190208843,-1,1.0
226,"a multi-party system spreads votes out to thin,so as one leader can be victorious even though they did not receive the majority of the peoples' votes.",We should adopt a multi-party system,train,0.578222849,0.285577543,-1,0.914308882
227,a multi-party system weakens speed of decision making and ensures no progress is made so we should not adopt it.,We should adopt a multi-party system,train,0.916078897,0.853212872,-1,1.0
228,a multi-party system will allow for more exchange of ideas and better development of our government.,We should adopt a multi-party system,train,1.0,0.959055005,1,1.0
229,a multi-party system will create confusion and deadlock.,We should adopt a multi-party system,train,0.687066512,0.271735791,-1,1.0
230,"a multi-party system will give more people with differing ideas, an opportunity to run for office",We should adopt a multi-party system,train,0.830371061,0.946285567,1,0.881512652
231,a multi-party system will help to ensure that more political agendas will be given the chance to represent the people,We should adopt a multi-party system,train,0.856328287,0.977302522,1,1.0
232,a multi-party system will just cause more arguments and political strongholds in our government.,We should adopt a multi-party system,train,0.779476742,0.31556905,-1,1.0
233,a multi-party system will lack real leadership and will mean that policies often end up being diluted or not passed at all as a majority can not be reached.,We should adopt a multi-party system,train,0.862559969,0.884874713,-1,1.0
234,a multi-party system will lead to a better diversity of viewpoints in government.,We should adopt a multi-party system,train,1.0,0.945395866,1,1.0
235,A multi-party system will make it so that everyone in the country is represented well.,We should adopt a multi-party system,train,1.0,0.924580657,1,1.0
236,a multi-party system will require large quantities of money that could better be used elsewhere,We should adopt a multi-party system,train,0.786908344,0.466001866,-1,1.0
237,a multi-party system will simply lead to legislative gridlock and nothing will get accomplished.,We should adopt a multi-party system,train,0.945412809,0.828984854,-1,1.0
238,a multi-party system will split the country even more.,We should adopt a multi-party system,train,0.702589116,0.596012927,-1,1.0
239,a multi-party system would allow more people to have their ideas represented.,We should adopt a multi-party system,train,1.0,0.914551457,1,1.0
240,a multi-party system would allow more views to be heard and more complex debates.,We should adopt a multi-party system,train,1.0,0.910453524,1,0.897748715
